Date,Open,High,Low,Close,Volume
2023-09-15,4917.9074,4961.7090,4842.0357,4869.3602,
2023-09-18,4862.4970,4912.8010,4807.4896,4865.1798,
2023-09-19,4864.5819,4934.2773,4831.2874,4900.3649,
2023-09-20,4889.0684,4937.4219,4843.5446,4891.6457,
2023-09-21,4883.1035,4935.8278,4840.0648,4865.0844,
2023-09-22,4864.2727,4991.6292,4828.2521,4976.4972,
2023-09-25,4967.1552,5005.9625,4892.7906,4927.7329,
2023-09-26,4934.6053,4995.2297,4897.4727,4931.0331,
2023-09-27,4932.2597,4976.3497,4887.1001,4915.6237,
2023-09-28,4937.5123,4975.6225,4866.8739,4896.6848,
2023-10-09,4859.8128,4925.3629,4784.1680,4884.6312,
2023-10-10,4895.0657,4931.3968,4796.5226,4822.8969,
2023-10-11,4842.2405,4904.0055,4785.6688,4837.6663,
2023-10-12,4891.8708,4950.1963,4828.4876,4887.8657,
2023-10-13,4855.2601,4914.2266,4793.2286,4855.9808,
2023-10-16,4863.4567,4902.8562,4804.7599,4850.5901,
2023-10-17,4853.4584,4920.5539,4817.6871,4884.3625,
2023-10-18,4859.2472,4910.5253,4793.7620,4850.5579,
2023-10-19,4822.0591,4861.9040,4725.5398,4748.7190,
2023-10-20,4733.1113,4772.3314,4654.3753,4683.1308,
2023-10-23,4636.5087,4690.2882,4563.3726,4615.7786,
2023-10-24,4601.0012,4672.7159,4527.0660,4597.3818,
2023-10-25,4640.2974,4668.1180,4529.2706,4555.4065,
2023-10-26,4532.7441,4626.8836,4502.9801,4598.4528,
2023-10-27,4570.9673,4651.8729,4518.4487,4597.6355,
2023-10-30,4582.4380,4641.6031,4478.7446,4553.7604,
2023-10-31,4558.0418,4616.0048,4508.1656,4575.6737,
2023-11-01,4585.8381,4623.7603,4525.5265,4569.0069,
2023-11-02,4586.2499,4638.3027,4545.1883,4572.6142,
2023-11-03,4578.9446,4629.1081,4540.0577,4582.9200,
2023-11-06,4607.3335,4652.0855,4530.9455,4590.1960,
2023-11-07,4576.0081,4635.5567,4527.0830,4595.1305,
2023-11-08,4576.3645,4623.0140,4537.5955,4572.3854,
2023-11-09,4564.8301,4634.9261,4536.4460,4593.0628,
2023-11-10,4575.9250,4619.2764,4521.4747,4559.8814,
2023-11-13,4570.5131,4627.6380,4522.4328,4591.8664,
2023-11-14,4596.6298,4655.9039,4557.3312,4595.3003,
2023-11-15,4629.0560,4668.9212,4580.9036,4624.2334,
2023-11-16,4610.7425,4647.9072,4569.2805,4591.4131,
2023-11-17,4575.6189,4611.2767,4537.5309,4582.6546,
2023-11-20,4583.6183,4629.3834,4545.2988,4592.0382,
2023-11-21,4606.8899,4653.8877,4575.1919,4597.0670,
2023-11-22,4585.7005,4621.7962,4551.7141,4564.6779,
2023-11-23,4564.7231,4594.7964,4527.8391,4575.7616,
2023-11-24,4576.1402,4602.9346,4525.3666,4546.6766,
2023-11-27,4538.4452,4559.4267,4465.9866,4507.1663,
2023-11-28,4502.1240,4535.8061,4470.2632,4507.5403,
2023-11-29,4509.1955,4528.3393,4446.5889,4470.6184,
2023-11-30,4475.1092,4531.4997,4449.5074,4505.9987,
2023-12-01,4499.6159,4560.0513,4459.2988,4528.5828,
2023-12-04,4532.6537,4580.8772,4488.4989,4513.8732,
2023-12-05,4503.6681,4521.1683,4423.1651,4429.8900,
2023-12-06,4423.0510,4459.6132,4358.4538,4398.4582,
2023-12-07,4391.2925,4442.9749,4351.2560,4412.7011,
2023-12-08,4413.4029,4504.9611,4377.6795,4459.1194,
